country,2008,2012,2013,2015,2016,2017,2018,2019
United States,1,2,2,6,31,44,80,103
United Kingdom,0,0,0,3,13,31,24,37
South Korea,0,0,0,0,8,27,13,39
Japan,0,0,0,1,8,17,27,26
Taiwan,0,0,0,0,29,11,6,18
India,0,0,0,0,0,12,20,16
France,0,0,0,3,3,4,6,14
China,0,0,0,0,3,5,9,9
Mexico,0,0,0,0,0,8,5,12
Australia,0,0,0,0,3,6,6,7
